unit,sector,na_item,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 
MIO_EUR,S1,B1GQ,IT	1613859.1 	1606894.7 	1614672.5 	1638857.4 	1605694.4 	1573655.1 	1632933.4 	1610304.9 	1549188.1 	1490409.4 	1449016.0 	1391312.8 	1346360.3 	1299411.8 	1239758.8 	1172365.3 	1131620.7 	1094210.6 	1031381.5 	895662.4 
MIO_EUR,S1,B1GQ,LT	36444.4 	34962.2 	33334.7 	31263.1 	28027.7 	26934.8 	32696.3 	29040.7 	24079.2 	21002.4 	18237.4 	16668.7 	15173.1 	13681.4 	12491.3 	10293.5 	10026.5 	8924.2 	6603.8 	5124.1 
MIO_EUR,S1,B1GQ,LU	48897.5 	46541.1 	43574.1 	42226.9 	39370.8 	36093.9 	37522.5 	35953.2 	33303.8 	29771.4 	27551.0 	25778.2 	24743.6 	23465.5 	23122.3 	19884.6 	17292.1 	16340.3 	16213.0 	15808.8 
MIO_EUR,S1,B1GQ,LV	23693.9 	22805.2 	21982.7 	20144.2 	17772.4 	18731.2 	24317.9 	22639.5 	17235.0 	13710.6 	11662.1 	10466.5 	10148.3 	9357.5 	8606.2 	7043.3 	6407.8 	5746.6 	4696.9 	4134.5 
MIO_EUR,S1,B1GQ,MT	7941.3 	7533.6 	7205.0 	6892.8 	6599.5 	6138.6 	6128.7 	5757.5 	5386.1 	5142.1 	4867.1 	4794.6 	4737.2 	4541.1 	4394.9 	3835.1 	3550.5 	3331.5 	2997.6 	2829.0 
MIO_EUR,S1,B1GQ,NL	662770.0 	650857.0 	645164.0 	642929.0 	631512.0 	617540.0 	639163.0 	613280.0 	579212.0 	545609.0 	523939.0 	506671.0 	494501.0 	476696.0 	448061.0 	414838.0 	386516.7 	363789.7 	351158.6 	341584.8 
MIO_EUR,S1,B1GQ,NO	377008.8 	393098.4 	396677.9 	358248.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B1GQ,PL	410844.6 	394601.8 	389273.3 	380176.9 	361744.3 	314689.4 	363691.8 	313654.1 	273418.0 	244822.0 	204848.0 	192274.3 	210146.0 	212405.7 	186375.9 	159267.4 	154748.7 	140439.2 	126003.0 	108716.1 
MIO_EUR,S1,B1GQ,PT	173446.2 	170269.3 	168398.0 	176166.6 	179929.8 	175448.2 	178872.6 	175467.7 	166248.7 	158652.6 	152371.6 	146158.3 	142631.4 	135827.5 	128466.3 	119639.2 	110715.3 	103332.8 	96626.6 	91024.7 
MIO_EUR,S1,B1GQ,RO	150018.5 	144253.5 	133511.4 	133305.9 	126746.4 	120409.2 	142396.3 	125403.4 	98418.6 	80225.6 	61404.5 	52931.6 	48810.9 	45503.5 	40797.2 	33942.3 	37314.3 	31681.9 	29227.3 	28765.1 
MIO_EUR,S1,B1GQ,SE	430634.6 	435752.1 	423340.7 	404945.5 	369076.6 	309678.7 	352317.1 	356434.3 	334876.5 	313218.0 	307433.4 	293444.5 	280520.5 	267758.3 	281859.3 	254085.0 	237893.1 	233409.1 	226904.1 	201840.7 
MIO_EUR,S1,B1GQ,SI	37303.2 	35907.5 	35988.3 	36896.3 	36252.4 	36166.2 	37951.2 	35152.6 	31561.2 	29235.4 	27736.7 	26303.1 	25050.7 	23248.1 	21923.5 	21207.5 	19766.0 	18308.4 	16924.7 	16279.8 
MIO_EUR,S1,B1GQ,SK	75560.5 	73835.1 	72420.0 	70443.5 	67387.1 	63818.5 	65839.8 	56090.6 	45396.2 	39219.9 	34702.3 	30064.5 	26305.6 	23871.6 	22346.8 	19491.5 	20315.3 	19299.1 	16990.3 	15259.4 
MIO_EUR,S1,B1GQ,UK	2253310.9 	2042895.0 	2053612.8 	1866018.3 	1813331.2 	1667594.9 	1908370.2 	2168911.7 	2063309.5 	1945624.5 	1849390.0 	1719826.9 	1782782.3 	1715823.2 	1685974.9 	1468832.9 	1372052.9 	1276157.0 	1029144.2 	946251.9 
MIO_EUR,S1,B5GQ,AT	327201.0 	323809.5 	317378.5 	309676.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,BE	406681.3 	398324.7 	396307.0 	382398.4 	375904.6 	349210.9 	362366.5 	349235.4 	331093.8 	315134.5 	302666.1 	287849.5 	279638.9 	270612.1 	264713.6 	249759.7 	238373.6 	230215.7 	226677.3 	226167.2 
MIO_EUR,S1,B5GQ,BG	42782.6 	41149.6 	40808.3 	39399.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,CY	16859.4 	17450.4 	18875.7 	19608.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,CZ	142600.3 	147455.8 	150628.6 	151181.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,DE	2982444.0 	2882035.0 	2820408.0 	2771333.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,DK	265177.5 	261990.2 	256551.4 	251301.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,EA17	10116790.9 	9933543.0 	9838353.6 	9801391.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,EA18	10140444.9 	9956264.7 	9860186.5 	9821529.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,EA19	10176449.5 	9990317.2 	9892515.1 	9851644.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,EE	19503.8 	18629.6 	17301.7 	15836.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,EL	177488.0 	180105.0 	192472.0 	201376.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
MIO_EUR,S1,B5GQ,ES	1036937.0 	1026489.0 	1035547.0 	1051854.0 	1065758.0 	1059241.0 	1086251.0 	1054673.0 	990424.0 	917108.0 	853508.0 	796978.0 	740968.0 	692127.0 	643849.0 	590897.0 	: 	: 	: 	: 
